Report_Number,Date_Reported,Date_of_Occurrence,Time_of_Occurrence,City,Crime_Code,Crime_Description,Victim_Age,Victim_Gender,Weapon_Used,Crime_Domain,Police_Deployed,Case_Closed,Date_Case_Closed,Hour,Month,Day_of_Week,Year,Is_Weekend,Day_Name,Season,Time_Bucket,Victim_Age_Group,Weapon_Group,Latitude,Longitude
61,03-01-2020 22:00,2020-03-01 12:00:00,03-01-2020 15:04,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,,15,3,6,2020,1,Sunday,Summer,Afternoon,Child,Chemical,19.055,72.8692
62,05-01-2020 21:00,2020-03-01 13:00:00,04-01-2020 03:32,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,09-02-2020 21:00,3,3,6,2020,1,Sunday,Summer,Night,Adult,Explosive,21.2095,72.8317
63,03-01-2020 20:00,2020-03-01 14:00:00,04-01-2020 09:27,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,15-03-2020 20:00,9,3,6,2020,1,Sunday,Summer,Morning,Adult,Explosive,13.0837,80.2702
64,06-01-2020 06:00,2020-03-01 15:00:00,03-01-2020 23:24,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,20-03-2020 06:00,23,3,6,2020,1,Sunday,Summer,Night,Young Adult,Blunt,19.3654,73.3685
65,05-01-2020 18:00,2020-03-01 16:00:00,04-01-2020 00:59,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,,0,3,6,2020,1,Sunday,Summer,Night,Adult,Explosive,17.6936,83.2921
66,06-01-2020 14:00,2020-03-01 17:00:00,04-01-2020 11:49,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,15-03-2020 14:00,11,3,6,2020,1,Sunday,Summer,Morning,Adult,Other,26.8381,80.9346
67,03-01-2020 21:00,2020-03-01 18:00:00,04-01-2020 17:48,Bhopal,306,CYBERCRIME,25,M,Unknown,Other Crime,6,No,,17,3,6,2020,1,Sunday,Summer,Evening,Young Adult,Unknown,23.2585,77.402
68,04-01-2020 20:00,2020-03-01 19:00:00,04-01-2020 08:46,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,02-05-2020 20:00,8,3,6,2020,1,Sunday,Summer,Morning,Young Adult,Sharp,17.6936,83.2921
69,06-01-2020 09:00,2020-03-01 20:00:00,04-01-2020 02:24,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,17-01-2020 09:00,2,3,6,2020,1,Sunday,Summer,Night,Adult,Explosive,17.3606,78.4741
70,06-01-2020 12:00,2020-03-01 21:00:00,04-01-2020 17:23,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,17,3,6,2020,1,Sunday,Summer,Evening,Adult,Firearm,17.6936,83.2921
71,06-01-2020 20:00,2020-03-01 22:00:00,04-01-2020 00:50,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,,0,3,6,2020,1,Sunday,Summer,Night,Adult,Chemical,22.5726,88.3639
72,05-01-2020 18:00,2020-03-01 23:00:00,04-01-2020 11:34,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,23-03-2020 18:00,11,3,6,2020,1,Sunday,Summer,Morning,Adult,Sharp,21.1498,79.0821
73,05-01-2020 21:00,2020-04-01 00:00:00,04-01-2020 07:58,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,,7,4,2,2020,0,Wednesday,Summer,Morning,Adult,Blunt,26.8381,80.9346
74,06-01-2020 05:00,2020-04-01 01:00:00,04-01-2020 03:01,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,20-01-2020 05:00,3,4,2,2020,0,Wednesday,Summer,Night,Adult,Firearm,13.0837,80.2702
75,05-01-2020 02:00,2020-04-01 02:00:00,05-01-2020 01:45,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,,1,4,2,2020,0,Wednesday,Summer,Night,Senior,Sharp,23.0215,72.5801
76,06-01-2020 00:00,2020-04-01 03:00:00,04-01-2020 20:57,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,26-01-2020 00:00,20,4,2,2020,0,Wednesday,Summer,Evening,Adult,Explosive,28.6139,77.209
77,04-01-2020 22:00,2020-04-01 04:00:00,04-01-2020 14:30,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,,14,4,2,2020,0,Wednesday,Summer,Afternoon,Young Adult,Explosive,19.055,72.8692
78,05-01-2020 21:00,2020-04-01 05:00:00,04-01-2020 17:02,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,29-03-2020 21:00,17,4,2,2020,0,Wednesday,Summer,Evening,Adult,Sharp,22.7204,75.8682
79,05-01-2020 20:00,2020-04-01 06:00:00,05-01-2020 03:40,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,,3,4,2,2020,0,Wednesday,Summer,Night,Adult,Chemical,19.055,72.8692
80,07-01-2020 03:00,2020-04-01 07:00:00,04-01-2020 23:54,Visakhapatnam,154,VEHICLE - STOLEN,54,F,Unknown,Violent Crime,15,Yes,15-01-2020 03:00,23,4,2,2020,0,Wednesday,Summer,Night,Adult,Unknown,17.6936,83.2921
81,05-01-2020 03:00,2020-04-01 08:00:00,04-01-2020 23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,04-03-2020 03:00,23,4,2,2020,0,Wednesday,Summer,Night,Senior,Sharp,28.6139,77.209
82,06-01-2020 05:00,2020-04-01 09:00:00,04-01-2020 15:37,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,,15,4,2,2020,0,Wednesday,Summer,Afternoon,Child,Explosive,26.9155,75.819
83,06-01-2020 12:00,2020-04-01 10:00:00,05-01-2020 09:17,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,21-03-2020 12:00,9,4,2,2020,0,Wednesday,Summer,Morning,Young Adult,Firearm,19.055,72.8692
84,04-01-2020 19:00,2020-04-01 11:00:00,05-01-2020 06:13,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,20-01-2020 19:00,6,4,2,2020,0,Wednesday,Summer,Morning,Senior,Blunt,22.5726,88.3639
85,05-01-2020 18:00,2020-04-01 12:00:00,04-01-2020 12:40,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,No,,12,4,2,2020,0,Wednesday,Summer,Afternoon,Adult,Firearm,26.8381,80.9346
86,06-01-2020 17:00,2020-04-01 13:00:00,05-01-2020 06:42,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,11-03-2020 17:00,6,4,2,2020,0,Wednesday,Summer,Morning,Young Adult,Other,19.055,72.8692
87,07-01-2020 06:00,2020-04-01 14:00:00,04-01-2020 16:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,18-01-2020 06:00,16,4,2,2020,0,Wednesday,Summer,Afternoon,Adult,Firearm,26.8381,80.9346
88,07-01-2020 03:00,2020-04-01 15:00:00,04-01-2020 22:04,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,,22,4,2,2020,0,Wednesday,Summer,Night,Child,Firearm,22.3053,70.8028
89,06-01-2020 22:00,2020-04-01 16:00:00,04-01-2020 21:21,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,,21,4,2,2020,0,Wednesday,Summer,Night,Child,Sharp,19.055,72.8692
90,06-01-2020 18:00,2020-04-01 17:00:00,05-01-2020 06:38,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,,6,4,2,2020,0,Wednesday,Summer,Morning,Senior,Blunt,17.3606,78.4741
91,05-01-2020 04:00,2020-04-01 18:00:00,05-01-2020 17:15,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,,17,4,2,2020,0,Wednesday,Summer,Evening,Senior,Chemical,22.5726,88.3639
92,04-01-2020 20:00,2020-04-01 19:00:00,05-01-2020 09:21,Jaipur,510,CYBERCRIME,60,F,Unknown,Other Crime,7,No,,9,4,2,2020,0,Wednesday,Summer,Morning,Senior,Unknown,26.9155,75.819
93,05-01-2020 16:00,2020-04-01 20:00:00,05-01-2020 07:36,Hyderabad,597,FRAUD,53,M,Unknown,Other Crime,13,Yes,01-04-2020 16:00,7,4,2,2020,0,Wednesday,Summer,Morning,Adult,Unknown,17.3606,78.4741
94,06-01-2020 21:00,2020-04-01 21:00:00,05-01-2020 08:12,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,,8,4,2,2020,0,Wednesday,Summer,Morning,Adult,Firearm,19.055,72.8692
95,06-01-2020 08:00,2020-04-01 22:00:00,04-01-2020 22:16,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,,22,4,2,2020,0,Wednesday,Summer,Night,Child,Firearm,19.3428,72.8054
96,06-01-2020 08:00,2020-04-01 23:00:00,05-01-2020 14:10,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,,14,4,2,2020,0,Wednesday,Summer,Afternoon,Adult,Blunt,17.3606,78.4741
97,06-01-2020 02:00,2020-05-01 00:00:00,05-01-2020 15:36,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,12-02-2020 02:00,15,5,4,2020,0,Friday,Summer,Afternoon,Young Adult,Explosive,21.1498,79.0821
98,06-01-2020 17:00,2020-05-01 01:00:00,05-01-2020 02:56,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,No,,2,5,4,2020,0,Friday,Summer,Night,Senior,Blunt,22.5726,88.3639
99,06-01-2020 23:00,2020-05-01 02:00:00,05-01-2020 14:38,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,23-01-2020 23:00,14,5,4,2020,0,Friday,Summer,Afternoon,Senior,Explosive,17.3606,78.4741
100,06-01-2020 20:00,2020-05-01 03:00:00,05-01-2020 06:41,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,22-01-2020 20:00,6,5,4,2020,0,Friday,Summer,Morning,Child,Other,17.3606,78.4741
101,06-01-2020 23:00,2020-05-01 04:00:00,05-01-2020 14:02,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,14-01-2020 23:00,14,5,4,2020,0,Friday,Summer,Afternoon,Adult,Sharp,23.0215,72.5801
102,05-01-2020 16:00,2020-05-01 05:00:00,05-01-2020 22:34,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,,22,5,4,2020,0,Friday,Summer,Night,Senior,Explosive,19.055,72.8692
103,07-01-2020 00:00,2020-05-01 06:00:00,05-01-2020 17:43,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,,17,5,4,2020,0,Friday,Summer,Evening,Adult,Other,26.4609,80.3218
104,07-01-2020 16:00,2020-05-01 07:00:00,05-01-2020 14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,19-02-2020 16:00,14,5,4,2020,0,Friday,Summer,Afternoon,Adult,Chemical,19.055,72.8692
105,06-01-2020 23:00,2020-05-01 08:00:00,05-01-2020 19:30,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,,19,5,4,2020,0,Friday,Summer,Evening,Adult,Blunt,26.8381,80.9346
106,06-01-2020 00:00,2020-05-01 09:00:00,05-01-2020 10:05,Hyderabad,583,VEHICLE - STOLEN,69,F,Unknown,Violent Crime,12,Yes,22-02-2020 00:00,10,5,4,2020,0,Friday,Summer,Morning,Senior,Unknown,17.3606,78.4741
107,05-01-2020 11:00,2020-05-01 10:00:00,05-01-2020 17:21,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,,17,5,4,2020,0,Friday,Summer,Evening,Child,Blunt,26.8381,80.9346
108,07-01-2020 12:00,2020-05-01 11:00:00,06-01-2020 09:35,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,09-02-2020 12:00,9,5,4,2020,0,Friday,Summer,Morning,Young Adult,Chemical,12.9768,77.5901
109,07-01-2020 20:00,2020-05-01 12:00:00,06-01-2020 00:07,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,,0,5,4,2020,0,Friday,Summer,Night,Adult,Blunt,13.0837,80.2702
110,05-01-2020 17:00,2020-05-01 13:00:00,05-01-2020 23:32,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,,23,5,4,2020,0,Friday,Summer,Night,Child,Other,28.6139,77.209
